,year,month,day,hour,minute,second,lat,lon,depth_km,mag,name
3202,1979,12,12,7,59,6,1.5491,-79.3116,29924.7,8.09,Colombia-Ecuador
4388,1983,10,4,18,52,16,-26.5809,-70.5478,28570.0,7.62,Copiapo
4809,1985,3,3,22,47,9,-33.281,-71.9057,40635.0,7.94,Algarrobo
8022,1995,7,30,5,11,23,-23.3066,-70.2965,32778.6,7.99,Antofagasta
8545,1996,2,21,12,51,6,-9.7328,-79.6915,24274.8,7.5,Chimbote
8860,1996,11,12,16,59,45,-15.02,-75.5629,30860.2,7.71,Nazca
10901,2001,6,23,20,33,12,-16.333,-73.5377,15574.3,8.38,Arequipa
13060,2005,6,13,22,44,32,-19.9554,-69.0747,104793.6,7.75,Tarapaca
14524,2007,11,14,15,40,50,-22.3409,-69.9788,42906.0,7.72,Tocopilla
14300,2007,8,15,23,40,57,-13.4053,-76.6654,39282.6,7.97,Pisco
15836,2010,2,27,6,34,12,-36.2714,-72.9113,22882.0,8.78,Maule
20131,2014,4,1,23,46,47,-19.6193,-70.7877,17055.5,8.12,Iquique
21443,2015,9,16,22,54,30,-31.6407,-71.6892,12129.7,8.27,Illapel
22487,2016,4,16,23,58,34,0.2792,-79.984,8733.3,7.78,Muisne
23049,2016,12,25,14,22,26,-43.4224,-73.9163,33633.4,7.57,Chiloe
25014,2019,5,26,7,41,14,-5.8927,-75.2457,125509.3,7.99,Loreto
