,year,month,day,hour,minute,second,lat,lon,depth_km,mag
0,1970,1,1,15,9,32,-43.1277,-82.6099,10000.0,4.84
1,1970,1,3,3,7,55,-1.8447,-78.5809,10000.0,4.7
2,1970,1,3,12,9,15,4.3092,-76.453,103000.0,4.69
3,1970,1,4,12,41,58,-28.4512,-71.2768,29000.0,4.69
4,1970,1,5,6,58,58,-17.3436,-71.0472,100000.0,5.15
5,1970,1,5,10,9,37,-31.2884,-69.0709,110000.0,4.55
6,1970,1,6,16,49,55,-21.3908,-71.8614,35000.0,4.42
7,1970,1,10,11,56,39,6.7561,-73.09,166000.0,4.62
8,1970,1,11,22,49,58,-2.5379,-77.1325,131277.8,4.81
9,1970,1,12,1,12,5,-30.1446,-68.3805,150000.0,3.8
10,1970,1,16,3,15,44,-28.0394,-67.4961,137872.4,4.52
11,1970,1,18,18,48,41,-28.5378,-71.2862,29135.9,5.18
12,1970,1,24,12,53,40,-10.7077,-77.4396,10000.0,4.6
13,1970,1,26,9,15,8,-7.8827,-74.5938,155525.4,4.58
14,1970,1,26,12,14,53,-22.6908,-68.8552,98000.0,4.6
15,1970,1,27,9,29,43,7.4404,-72.0815,17539.6,5.66
16,1970,1,27,15,22,13,-21.0387,-68.8163,117000.0,4.8
17,1970,1,30,5,41,51,-4.1843,-76.7598,104790.9,4.69
18,1970,1,30,6,24,58,-38.416,-73.4349,15745.8,4.79
19,1970,2,1,12,29,44,-7.2107,-77.0238,35000.0,4.5
20,1970,2,1,19,20,41,-28.5256,-71.078,35000.0,4.56
21,1970,2,2,2,10,11,-15.8719,-70.7788,170000.0,4.66
22,1970,2,3,21,23,11,-24.4361,-67.945,117000.0,4.7
23,1970,2,8,19,34,23,-2.7314,-75.0759,35000.0,4.82
24,1970,2,9,2,16,26,-5.2775,-76.5275,80000.0,4.29
25,1970,2,9,8,1,44,-38.4052,-73.2312,18000.0,4.9
26,1970,2,9,16,15,56,-12.6385,-76.9928,44000.0,4.6
27,1970,2,11,0,41,51,-41.4621,-74.869,35000.0,4.51
28,1970,2,11,4,7,38,-22.3015,-70.2682,70000.0,4.9
29,1970,2,12,23,24,14,-21.315,-68.5575,121000.0,4.66
30,1970,2,13,17,26,17,-16.0712,-71.7834,139386.2,5.41
31,1970,2,14,11,17,16,-9.9655,-75.5738,28045.4,5.79
32,1970,2,15,3,12,58,-23.293,-70.2763,51558.6,5.29
33,1970,2,15,17,28,26,-29.6811,-67.3706,117160.9,4.93
34,1970,2,16,23,24,2,-24.9127,-70.8596,35000.0,4.76
35,1970,2,24,23,18,11,-34.6784,-72.2854,10000.0,5.01
36,1970,2,26,3,3,41,-13.7545,-74.0157,97411.3,5.44
37,1970,2,26,6,58,20,6.8384,-72.9365,166000.0,4.7
38,1970,2,26,7,35,47,-13.7106,-74.0669,87874.6,4.93
